Symbol	IntOGen_Cancer_Type	IntOGen_Role	CGC_Tumour_Types	CGC_Cancer_Role	Com299_Pancaner_Frequency	Com435_Putative_DriveCategory	B125_Classification	B125_Core_pathway	B125_Process	SMG127_Pancan12_Freq
ABL1	"HC,UCEC"	Act	"CML,ALL,T-ALL"	"oncogene,fusion"	1.17%	High_Confidence_Driver	Oncogene	Cell_Cycle/Apoptosis	Cell_Survival	-
AKT1	"ACY,ALL,BRCA,CESC,OS,PRAD,THCA,UCEC"	Act	"breast,colorectal,ovarian,NSCLC"	oncogene	1.01%	High_Confidence_Driver	Oncogene	PI3K	Cell_Survival	0.90%
ALK	"BRCA,HC,NB,NSCLC,PRAD,SCLC"	Act	"ALCL,NSCLC,neuroblastoma,inflammatory_myofibroblastic_tumour,Spitzoid_tumour"	"oncogene,fusion"	2.43%	-	Oncogene	PI3K;RAS	Cell_Survival	-
AR	"CH,DLBCL,MM,NSPH,PRAD"	Act	prostate	oncogene	1.46%	High_Confidence_Driver	Oncogene	Transcriptional_Regulation	Cell_Fate	1.20%
BCL2	"DLBCL,LY"	Act	"NHL,CLL"	"oncogene,fusion"	0.40%	-	Oncogene	Cell_Cycle/Apoptosis	Cell_Survival	-
BRAF	"BLCA,BRCA,CLL,CM,COREAD,DLBCL,GBM,HGG,LGG,LUAD,LUSC,MM,NSCLC,OV,PIA,PRAD,RPC,THCA,UCEC"	Act	"melanoma,colorectal,papillary_thyroid,borderline_ovarian,NSCLC,cholangiocarcinoma,pilocytic_astrocytoma,Spitzoid_tumour,pancreas_acinar_carcinoma,melanocytic_nevus,prostate,gastric"	"oncogene,fusion"	7.10%	High_Confidence_Driver	Oncogene	RAS	Cell_Survival	1.50%
CARD11	"BLY,COREAD,DLBCL,HC,LY,NHLY"	Act	DLBCL	oncogene	2.80%	-	Oncogene	Cell_Cycle/Apoptosis	Cell_Survival	-
CBL	"ALL,AML"	Act	"AML,JMML,MDS"	"oncogene,TSG,fusion"	-	-	Oncogene	PI3K;RAS	Cell_Survival	-
CRLF2	-	-	"B-ALL,Downs_associated_ALL"	"oncogene,fusion"	-	-	Oncogene	STAT	Cell_Survival	-
CSF1R	-	-	"MDS,CML,AML,hemangioblastoma,CCRCC"	oncogene	-	-	Oncogene	PI3K;RAS	Cell_Survival	-
CTNNB1	"ACC,COREAD,HBC,HC,LUAD,MBL,NSCLC,PIA,PRAD,RHBDS,SBCC,ST,UCEC,WT"	Act	"colorectal,ovarian,_hepatoblastoma,pleomorphic_salivary_gland_adenoma,other_tumour_types"	"oncogene,fusion"	3.57%	High_Confidence_Driver	Oncogene	APC	Cell_Fate	2.90%
DNMT1	-	-	-	-	-	-	Oncogene	Chromatin_Modification	Cell_Fate	-
DNMT3A	"AML,HC,LGG,MDPS,PRAD,RPC,THCA"	LoF	AML	TSG	2.06%	High_Confidence_Driver	Oncogene	Chromatin_Modification	Cell_Fate	2.80%
EGFR	"BRCA,COREAD,GBM,HGG,LGG,LUAD,MM,NSCLC,PIA"	Act	"glioma,NSCLC"	oncogene	3.78%	High_Confidence_Driver	Oncogene	PI3K;RAS	Cell_Survival	4.60%
ERBB2	"BLCA,BRCA,CESC,CH,COREAD,ESCA,NSCLC,OV,RPC,ST"	Act	"breast,ovarian,other_tumour_types,NSCLC,gastric"	"oncogene,fusion"	2.28%	High_Confidence_Driver	Oncogene	PI3K;RAS	Cell_Survival	-
